run_id,run_mode,variant_id,category,name,setting,status,failure_reason,sample_count,loss,miou,iou_per_class,mean_acc,acc_per_class,dice,delta_miou,delta_dice,runtime_seconds
full-42,full,autoencoder__encoder_depth_4_base_channel_32,autoencoder,encoder_depth_4_base_channel_32,architecture=legacy;depth=4;base_channels=32,completed,,15,1.0599518775939942,0.30237266048668165,"{""0"": 0.47977231888797545, ""1"": 0.12497300208538785}",0.49997915714188873,"{""0"": 0.8552087609825181, ""1"": 0.14474955330125938}",0.43531014225196474,-0.5387815390901791,-0.478413057031696,0.5262479619996157
full-42,full,autoencoder__encoder_depth_1_base_channel_64,autoencoder,encoder_depth_1_base_channel_64,architecture=legacy;depth=1;base_channels=64,completed,,15,0.39010544220606486,0.6978008402105613,"{""0"": 0.7412882171673891, ""1"": 0.6543134632537335}",0.8204499233597156,"{""0"": 0.9529151246945885, ""1"": 0.6879847220248427}",0.8212321714263842,-0.14335335936629945,-0.09249102785727659,0.5508291529986309
full-42,full,autoencoder__encoder_depth_2_base_channel_64,autoencoder,encoder_depth_2_base_channel_64,architecture=legacy;depth=2;base_channels=64,completed,,15,0.6201120018959045,0.4382643595885029,"{""0"": 0.5769988714219902, ""1"": 0.29952984775501557}",0.6281359629719192,"{""0"": 0.9356888676555742, ""1"": 0.3205830582882643}",0.5963750707181811,-0.40288983998835787,-0.31734812856547967,0.5449452429893427
full-42,full,autoencoder__encoder_depth_3_base_channel_64,autoencoder,encoder_depth_3_base_channel_64,architecture=legacy;depth=3;base_channels=64,completed,,15,0.5852315346399943,0.4623030822291845,"{""0"": 0.6054582794049622, ""1"": 0.3191478850534067}",0.6525657755319711,"{""0"": 0.9784759447485776, ""1"": 0.3266556063153648}",0.6190597713192175,-0.3788511173476763,-0.2946634279644432,0.5480896450026194
full-42,full,autoencoder__encoder_depth_4_base_channel_64,autoencoder,encoder_depth_4_base_channel_64,architecture=legacy;depth=4;base_channels=64,completed,,15,0.6928417364756266,0.5151609446515045,"{""0"": 0.6083119883415792, ""1"": 0.4220099009614299}",0.6856404325803568,"{""0"": 0.9058433984601951, ""1"": 0.4654374667005184}",0.6750001060814739,-0.32599325492535625,-0.23872309320218688,0.5740909159940202
full-42,full,autoencoder__rate_0.0001_latent_8,autoencoder,rate_0.0001_latent_8,architecture=quantized_compressive;depth=4;base_channels=32;latent_channels=8;rate_weight=0.0001,completed,,15,1.6529671510060628,0.2587298431786145,"{""0"": 0.5156655823495574, ""1"": 0.0017941040076716306}",0.4942233740384614,"{""0"": 0.9866264207692986, ""1"": 0.0018203273076241376}",0.3420147426850986,-0.5824243563982463,-0.5717084565985622,0.71729731700907
full-42,full,autoencoder__rate_0.0001_latent_16,autoencoder,rate_0.0001_latent_16,architecture=quantized_compressive;depth=4;base_channels=32;latent_channels=16;rate_weight=0.0001,completed,,15,0.9629496415456136,0.4857054238444535,"{""0"": 0.587544029744112, ""1"": 0.38386681794479494}",0.661491954858936,"{""0"": 0.8951127825041383, ""1"": 0.42787112721373355}",0.6474833212090771,-0.3554487757324073,-0.2662398780745836,0.7223846970009618
full-42,full,autoencoder__rate_0.0001_latent_32,autoencoder,rate_0.0001_latent_32,architecture=quantized_compressive;depth=4;base_channels=32;latent_channels=32;rate_weight=0.0001,completed,,15,1.50857834815979,0.2723600241584877,"{""0"": 0.5259570774964414, ""1"": 0.01876297082053404}",0.5084732472093345,"{""0"": 0.998145493983813, ""1"": 0.01880100043485597}",0.3630909781518629,-0.5687941754183731,-0.5506322211317978,0.7657786149939056
full-42,full,autoencoder__rate_0.001_latent_8,autoencoder,rate_0.001_latent_8,architecture=quantized_compressive;depth=4;base_channels=32;latent_channels=8;rate_weight=0.001,completed,,15,1.031336534023285,0.4733498670721743,"{""0"": 0.6047193254270189, ""1"": 0.34198040871732976}",0.6586747937666451,"{""0"": 0.960668693571614, ""1"": 0.35668089396167624}",0.6316707037379403,-0.36780433250468647,-0.2820524955457204,0.7285905760072637
full-42,full,autoencoder__rate_0.001_latent_16,autoencoder,rate_0.001_latent_16,architecture=quantized_compressive;depth=4;base_channels=32;latent_channels=16;rate_weight=0.001,completed,,15,1.4090754628181457,0.26742170719650066,"{""0"": 0.5223639450560922, ""1"": 0.012479469336909172}",0.5034339500693739,"{""0"": 0.9943108352728213, ""1"": 0.012557064865926507}",0.35545250176718146,-0.5737324923803602,-0.5582706975164793,0.7194132199947489
full-42,full,autoencoder__rate_0.001_latent_32,autoencoder,rate_0.001_latent_32,architecture=quantized_compressive;depth=4;base_channels=32;latent_channels=32;rate_weight=0.001,completed,,15,0.9905243555704752,0.27264320708831236,"{""0"": 0.5255729205578743, ""1"": 0.019713493618750445}",0.5083626499016117,"{""0"": 0.9969460065053811, ""1"": 0.019779293297842275}",0.3638409385617717,-0.5685109924885484,-0.5498822607218891,0.7221348049934022
full-42,full,autoencoder__rate_0.005_latent_8,autoencoder,rate_0.005_latent_8,architecture=quantized_compressive;depth=4;base_channels=32;latent_channels=8;rate_weight=0.005,completed,,15,1.6346810857454936,0.2632108957169637,"{""0"": 0.5222705954751685, ""1"": 0.004151195958758944}",0.5011527942810993,"{""0"": 0.9981459809864434, ""1"": 0.004159607575755156}",0.3472206036284376,-0.5779433038598971,-0.5665025956552232,0.6939168389944825
full-42,full,autoencoder__rate_0.005_latent_16,autoencoder,rate_0.005_latent_16,architecture=quantized_compressive;depth=4;base_channels=32;latent_channels=16;rate_weight=0.005,completed,,15,1.4643522183100381,0.4028392713107066,"{""0"": 0.5773737893938744, ""1"": 0.22830475322753888}",0.6076889523798805,"{""0"": 0.9827752039688766, ""1"": 0.2326027007908843}",0.5519046524189078,-0.43831492826615415,-0.3618185468647529,0.7005642279982567
full-42,full,autoencoder__rate_0.005_latent_32,autoencoder,rate_0.005_latent_32,architecture=quantized_compressive;depth=4;base_channels=32;latent_channels=32;rate_weight=0.005,completed,,15,0.9586760640144348,0.4641080928215252,"{""0"": 0.592929243388887, ""1"": 0.3352869422541634}",0.6492762155979966,"{""0"": 0.942018440841599, ""1"": 0.3565339903543943}",0.623323022812399,-0.37704610675533556,-0.2904001764712617,0.7027618860010989
full-42,full,jpeg__low,classic,JPEG,low;quality=35,completed,,15,0.36001941561698914,0.7125235084840738,"{""0"": 0.7296286714457345, ""1"": 0.695418345522413}",0.8313819519600545,"{""0"": 0.863915394007043, ""1"": 0.7988485099130661}",0.8320162955764399,-0.12863069109278702,-0.08170690370722089,0.5137630090030143
full-42,full,jpeg__medium,classic,JPEG,medium;quality=65,completed,,15,0.3093858023484548,0.7689658517157043,"{""0"": 0.7764124465552811, ""1"": 0.7615192568761274}",0.8696459871437705,"{""0"": 0.8674685651977206, ""1"": 0.8718234090898204}",0.8693758900232395,-0.07218834786115647,-0.0443473092604213,0.526760860986542
full-42,full,jpeg__high,classic,JPEG,high;quality=90,completed,,15,0.22382466991742453,0.8369733317075101,"{""0"": 0.8358172087278716, ""1"": 0.8381294546871485}",0.9134010159456027,"{""0"": 0.8651236475328203, ""1"": 0.9616783843583852}",0.9112521354151912,-0.0041808678693506796,-0.002471063868469514,0.5264325439929962
full-42,full,webp__low,classic,WEBP,low;quality=35,completed,,15,0.46280200878779093,0.5935986247158578,"{""0"": 0.6404563288852363, ""1"": 0.5467409205464794}",0.7442832921244995,"{""0"": 0.8554498272845171, ""1"": 0.6331167569644818}",0.7438928341197302,-0.247555574861003,-0.16983036516393057,0.7012782149977284
full-42,full,webp__medium,classic,WEBP,medium;quality=65,completed,,15,0.3555273433526357,0.7248542967973794,"{""0"": 0.7361671747868972, ""1"": 0.7135414188078617}",0.8403348309155261,"{""0"": 0.8506845065470199, ""1"": 0.8299851552840323}",0.840431889427521,-0.11629990277948132,-0.07329130985613974,0.6897549440036528
full-42,full,webp__high,classic,WEBP,high;quality=90,completed,,15,0.2454237977663676,0.8315760917401234,"{""0"": 0.8302192373650193, ""1"": 0.8329329461152274}",0.9102359174609765,"{""0"": 0.8610230853856842, ""1"": 0.9594487495362689}",0.9080436752662342,-0.009578107836737404,-0.0056795240174265516,0.7473299379926175
